식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
건대 숯불부자곱창,5.11.일,1,"일단 저게 모둠 2인분입니다. 늦게가서 그런건가요? 인생 최악 곱창이네요 씹히지 않을만큼 막창은 질기고 곱창은 거의 반 건조된게 나오네요 .. 초벌해놓고 어디에 보관한걸 그냥 던져준느낌
곱창 먹다가 모래 처럼 씹히는게 있어서 보니 곱 찌꺼기(배설물) 인지 숯인지 탄건지 검정색도 나오고.. 다 뱉고 먹지도 않고 나왔습니다 돈 버렸네요
신경 좀 쓰고 장사해주세요",
건대 숯불부자곱창,5.7.수,1,"소곱창 먹었는데 잘 구워져서 나와서 좋아요. 직접 굽다보면 잘못 구워서 맛없기도 한데..
잘 먹었습니다.","음식이 맛있어요, 친절해요, 직접 잘 구워줘요"
건대 숯불부자곱창,3.14.금,1,"건대쪽에 올일 있어서 찾다가 리뷰 좋아서 들어왔는데
서울에서 먹은 곱창중에 젤 맛있어요~
곱창 다 구워져서 나와서 바로 먹을 수 있어서 좋아요 😀","음식이 맛있어요, 잡내가 적어요, 매장이 넓어요, 직접 잘 구워줘요"
건대 숯불부자곱창,5.3.토,1,"처음오는곳인데 여자친구가 환장을 하고 먹고있어요!
곱창과 대창의조합이 정말 맛있고
플레이팅까지 이쁘네요
눈과 입 둘다 만족입니다!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
건대 숯불부자곱창,3.25.화,1,마늘 소곱창 진짜 진짜 맛있어요!! 다음에 또 오고싶은 맛..!! 진짜 기다리지도 않고 너무 맛닜게 먹었습니당,"매장이 넓어요, 친절해요, 매장이 청결해요, 음식이 맛있어요"
건대 숯불부자곱창,2.22.토,1,오랜만에 건대 데이트 후에~ 지난번에 우연히 방문했던 숯불부자곱창의 마늘 소곱창이 딱! 생각나고 먹고싶어서 재방문했어요❤️ 진짜 자신있게 시그니처고 한정으로 파는 이유를 알겠는 맛이니 꼭 다들 방문하세요🍺❤️❤️❤️❤️,"음식이 맛있어요, 고기 질이 좋아요, 잡내가 적어요"
건대 숯불부자곱창,1.26.일,1,"소곱창 러버인데 너무 맛있어요 자주 올거에여!!
맛있어서 둘이서 3인분 먹었네요ㅎㅎ
볶음밥도 맛도리👍🏻 매장도 넓고 구워서 나와서 딱좋고 기름기 쫙빠진맛이라 물리지도 않아여!!
자주 오겠습니다🤟🏻
접기","매장이 넓어요, 음식이 맛있어요, 친절해요, 매장이 청결해요, 직접 잘 구워줘요"
건대 숯불부자곱창,5.4.일,1,"맛있어용~~!!
주문하기 편하고 매장도 넓어요!
화장실도 안에 있어서 좋아요!","친절해요, 환기가 잘 돼요, 음식이 맛있어요, 매장이 넓어요"
건대 숯불부자곱창,6.6.금,1,친절하시구 좋아요! 음식은 말해뭐해요 ㅎㅎ 하나하나 웃으면서 응대해주셔서 좋은 기억 가지고 갑니다😊,"음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 단체모임 하기 좋아요, 친절해요"
건대 숯불부자곱창,5.9.금,1,마늘 소곱창 너무 맛있어요 가성비 좋아요 맛있게 먹고갑니다!,"매장이 넓어요, 단체모임 하기 좋아요, 음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요"
건대 숯불부자곱창,4.27.일,1,"너무 깔끔하고 맛있고 금방 나와서 좋아요!!!
처음 와봤는데 가게도 음식도 깔끔하고 좋네요 만족♡","음식이 맛있어요, 고기 질이 좋아요, 뷰가 좋아요"
건대 숯불부자곱창,5.18.일,1,사장님과 직원분들이 너무 친절하시구 곱창 양도 많고 너무 맛있었어요! 다 구워서 나와서 먹기도 편했고 엄청 빨리 나와서 좋았어요! 다른 사이드 메뉴도 다 너무 맛있어서 자주 이용할 것 같아요 !,"음식이 맛있어요, 고기 질이 좋아요"
건대 숯불부자곱창,3.28.금,2,날씨가 살짝 추워서 뜨끗한 전골 곱창이 땡겨서 건대에 있는 부자곱창에 다녀왔어요. 뜨끗한 국물이 맛이 으뜸이고 고기도 너무 고소하고 구이와는 다르게 입 안에서 사르르 녹네요 정말 맛있게 먹엇습니다~!! 다음에 또 시간 내서 와서 전골 말고 소곱창도 먹고 싶네요~! 굿굿~,"음식이 맛있어요, 고기 질이 좋아요"
건대 숯불부자곱창,5.18.일,1,"매장에 손님이 반정도만 차 있었는데 주문하고 기본 25-30분 걸리더라구요. 제 주변 옆테이블 모두 하염없이 기다리다 다들 인상이 안좋아지기 시작했어요;; 저희것도 30분만에 나왔는데 맛이 실망..마늘곱창이라해서 마늘양념이 맛있게 된 줄 알았더니 마늘이 그냥 곱창안에 들어가있더라구요. 곱창 많이 질겼고 느끼한데 찍어먹을 맛있는 소스가 제대로 없었어요. 조금 먹다가 너무 질기고 맛이 없어서 먹는둥 마는둥 했답니다….;; 주변 테이블도 먹는데 표정이 정말 안좋아보였어요. 악의적인 리뷰 절대 아니고 여긴 경영을 대대적으로 바꾸셔야할듯요…
볶음밥이라도 먹자하고 시킬려니 밥이없어서 볶음밥이 주문이 안되더라구요. 너무 느끼해서 밥이라도 먹으려고 했더니.. 볶음밥 시간 오래걸려서 막아둔 것 같았어요.
접기",매장이 넓어요
