식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
최원석의돼지한판&서해쭈꾸미 건대1호점,5.18.일,1,맛있어요 5년째 다님,"음식이 맛있어요, 고기 질이 좋아요, 단체모임 하기 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.16.수,1,#건대맛집 #건대삼겹살 #건대고기집 구워주셔서 좋아요~~ 맛있게 먹었습니다,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.6.일,1,여기 진짜 고기 죤맛임ㅋㅋㅋ 고기도 다 구워주고 채소도 짱신선!!,"음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 친절해요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.27.일,1,양도 많고 밑반찬도 많거 맛있어요!,"음식이 맛있어요, 양이 많아요, 인테리어가 멋져요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.8.목,1,"고기가 두툼하고 맛있습니다!
사장님께서 직접 구워주셨고, 회식장소로 너무 좋습니다!","재료가 신선해요, 단체모임 하기 좋아요, 친절해요, 직접 잘 구워줘요, 주차하기 편해요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.16.일,1,"고기가 너무 숙성되서 맛있고 쫄깃 합니다
육즙도 가득해요~
직접구어주셔서 더 좋고 된장찌개에 샐러드까지 기본 반찬도구성도 너무 좋습니다
완전 추천해요!!
접기","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.3.토,1,고기도 구워주시고 너무 맛있어서 또왔어요 ㅠㅠ 잘먹겠습니다,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.17.월,1,"건대에서 맛있는 삽겹살집이에오
고깃집은 찾을필요없이 돼지한판으로!!","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.26.수,1,"건대에서 여기만 와요 완전 맛있어용
리뷰이벤트하면 계란찜 주시고
된찌는 청국장맛나고 맛있어용
고기질도 좋은거같고 반찬도 다양해요!!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.20.목,1,고기가 두툼하고 매장이 넓어요! 고기도 직접 구워주시거 좋습니다😊,"매장이 넓어요, 친절해요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.29.목,1,맛있어요 ~ 🤙🤙,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.15.토,1,"고기도 구워주시고 고기를 시키면 된장찌개와 묵사발을 주셔서 좋아요!!
고기도 넘넘 맛있어용 🤤🤤🤤🤤
냉면도 꼭 드세요!","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 재료가 신선해요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.2.일,1,너무 맛있었어요 직접 구워주시는데 너무 잘 구워주셨어요 감사합니다!! 잘먹고 갑니다!!,"음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 매장이 청결해요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.26.토,1,"맛있게 구워주셔서 아주 잘 먹었어요^^
다음에도 또 올께요^^","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 가성비가 좋아요, 친절해요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.5.수,1,"고기 구워주시는데 너무 맛있고
고기 시키면 된장찌개랑 도토리묵사발 같이 나오는데 얘네도 너무 맛있어요..! 비빔냉면도 메밀면 같아보이는데 맛있네요 :))
잘 먹고갑니다ㅏ👀✨","매장이 넓어요, 차분한 분위기에요, 직접 잘 구워줘요, 고기 질이 좋아요, 반찬이 잘 나와요"
최원석의돼지한판&서해쭈꾸미 건대1호점,1.26.일,1,"건대 맛집으로 유명한 최원석의돼지한판!!
친동생이 맛있다고 너무 좋아해서 동생이 서울 놀러오면 여기를 꼭 와요 ㅎㅎ
고기 질도 좋고 구워주셔서 편하게 먹었어요!
여기 냉면도 맛있는데 다음엔 냉쏘하러 와야겠어용!
접기","음식이 맛있어요, 고기 질이 좋아요, 건강한 맛이에요, 재료가 신선해요, 메뉴 구성이 알차요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.15.토,1,"건대 삼겹살 맛집이에요
고기 질이 진짜 좋네요
다 구워주시구 도마 위에서 썰어주는 퍼포먼스까지
곁들임으로 나오는 청국장도 맛나용!!
접기","음식이 맛있어요, 고기 질이 좋아요, 잡내가 적어요, 단체모임 하기 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.6.화,1,"직원분도 친절하시고 음식도 너무 맛있었어요
쭈꾸미도 적당히 맵게 맛있고 양이 많아서 좋았습니당","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 양이 많아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.2.금,1,"육즙 좔좔~~ 직접 다 구어주셔서 너무 편하게 먹습니다^^ 역시 건대 맛집!!
쭈꾸미도 맛있어요~~~","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.21.월,1,"돼지고기 넘맛있어요
고기가 넘좋으네요~
같이시킨 피자랑 쭈꾸미도 맛있어요",음식이 맛있어요
최원석의돼지한판&서해쭈꾸미 건대1호점,2.26.수,1,저녁 데이트로 삼겹살먹고 싶어서 찾아보다가 처음 와봤어요!!! 직접 맛있게 구워주셔서 너무 좋았습니다! 숙성삼겹살이라 그런지 너무너무너무 맛있어요ㅜㅜ건대 고기맛집 발견💕또 올게요 :),"음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 차분한 분위기에요"
최원석의돼지한판&서해쭈꾸미 건대1호점,2.2.일,1,"직원분이 고기를 직접 구워주십니다
두툼한상태로 나온 생고기를 중간에 자르면서 골고루 익혀서 준비해주시니까 아주 맛있네요

집근처라 자주 올거 같네요
된장찌개도 청국장 섞여있어 더 맛있네요
접기","음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 매장이 넓어요, 친절해요"
최원석의돼지한판&서해쭈꾸미 건대1호점,24.12.19.목,1,서울 여행 왔다가 리뷰가 좋아서 먹으러 왔는데 너무 맛있어요 ㅎㅎㅎ 사장님도 친절하시고 된장찌개는 그냥… 짱 ㅠㅠㅠㅠㅜ 고기는 말할것도 없구요 ㅠㅠ직접 구워주시는데 너무 맛있습니당 ㅎㅎ 끝에는 냉면도 같이 먹었어요 ㅎㅎ 다음에 무조건 또 올께요~!!,"친절해요, 직접 잘 구워줘요, 음식이 맛있어요, 고기 질이 좋아요, 단체모임 하기 좋아요"
